Id	x_pos	y_pos	z_pos
0	-4.24	-24.46	-14.53
1	11.47	-22.49	-14.52
2	22.4	-11.45	-14.6
3	24.84	3.98	-14.57
4	17.98	17.75	-14.64
5	3.76	24.9	-14.6
6	-11	22.37	-14.72
7	-22.32	11.54	-14.55
8	-24.87	-3.72	-14.65
9	-17.83	-17.49	-14.65
10	4.34	-24.82	-9.59
11	18.6	-17.52	-9.51
12	24.99	-3.37	-9.57
13	22.27	11.95	-9.57
14	11.07	22.88	-9.53
15	-4.53	24.99	-9.66
16	-18.17	17.56	-9.59
17	-25.1	3.24	-9.54
18	-22.37	-11.79	-9.6
19	-10.9	-22.96	-9.6
20	-0.67	-30.18	-4.73
21	14.18	-26.5	-4.92
22	25.42	-15.89	-4.78
23	30	-0.62	-4.79
24	26.56	14.18	-4.77
25	15.61	25.84	-4.83
26	0.97	30.19	-4.79
27	-14.43	26.6	-4.86
28	-25.43	15.86	-4.73
29	-30.07	0.83	-4.78
30	-26.6	-14.1	-4.76
31	-15.75	-25.56	-4.91
32	-1.06	-33.23	0.31
33	13.34	-30.27	0.44
34	25.58	-21.31	0.29
35	32.66	-8.18	0.31
36	32.33	6.18	0.42
37	26.59	19.98	0.56
38	15.53	29.55	0.36
39	1.15	33.54	0.41
40	-13.74	30.39	0.36
41	-25.12	21.48	0.29
42	-32.15	8.92	0.36
43	-32.81	-6.08	0.48
44	-26.88	-19.8	0.58
45	-15.41	-29.44	0.48
46	8.56	-38.88	5.51
47	22.24	-30.3	5.52
48	30.7	-21.33	5.45
49	34.96	-13	5.49
50	36.57	-4.54	5.41
51	36.61	4.16	5.34
52	35.05	12.93	5.55
53	30.18	21.59	5.45
54	22.35	30.34	5.47
55	7.78	38.91	5.57
56	-7.95	38.96	5.56
57	-22.69	30.15	5.46
58	-31.04	21.5	5.53
59	-35.32	13.1	5.45
60	-36.58	4.3	5.41
61	-36.97	-4.47	5.4
62	-35.35	-12.94	5.52
63	-30.57	-21.2	5.51
64	-22.37	-30.1	5.57
65	-7.65	-38.99	5.49
66	7.73	-38.86	11.38
67	22.26	-30.41	11.42
68	31.1	-21.53	11.35
69	35.24	-12.85	11.37
70	37.32	-4.37	11.35
71	37.52	4.21	11.3
72	35.52	13.04	11.28
73	31.01	21.63	11.31
74	22.46	30.19	11.42
75	8.04	39.06	11.3
76	-7.88	39.06	11.39
77	-22.23	30.3	11.35
78	-30.69	21.64	11.33
79	-35.19	12.93	11.32
80	-37.37	4.48	11.36
81	-37.42	-4.36	11.31
82	-35.45	-13.04	11.27
83	-31.07	-21.54	11.46
84	-22.03	-30.16	11.39
85	-7.9	-39.11	11.43
86	7.73	-39.14	17.35
87	22.17	-30.22	17.25
88	31.01	-21.57	17.3
89	35.39	-12.88	17.29
90	37.5	-4.3	17.33
91	37.36	4.35	17.28
92	34.95	12.85	17.27
93	30.9	21.61	17.3
94	22.39	30.18	17.39
95	7.84	38.98	17.28
96	-7.84	39.21	17.29
97	-22.54	30.17	17.38
98	-30.96	21.7	17.24
99	-35.16	12.85	17.39
100	-36.99	4.28	17.3
101	-37.47	-4.55	17.3
102	-35.51	-13.01	17.4
