RUN	STATUS	RUNTIME(s)	OUTPUT
2007	OK	9489	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2007.root
2008	OK	9686	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2008.root
2005	OK	10073	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2005.root
2004	OK	10083	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2004.root
2006	OK	10295	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2006.root
2011	OK	4048	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2011.root
2012	OK	5908	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2012.root
2009	OK	9251	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2009.root
2010	OK	9126	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2010.root
2013	OK	8726	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2013.root
