RUN	STATUS	RUNTIME(s)	OUTPUT	DATETIME
2011	OK	591	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_2011.root	Mon Jun 22 02:43:43 PM CEST 2026
2012	OK	912	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_2012.root	Mon Jun 22 03:14:05 PM CEST 2026
2007	OK	3720	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_2007.root	Mon Jun 22 04:56:40 PM CEST 2026
2013	OK	3796	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_2013.root	Mon Jun 22 04:59:16 PM CEST 2026
2010	OK	3962	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_2010.root	Mon Jun 22 05:06:10 PM CEST 2026
2009	OK	3941	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_2009.root	Mon Jun 22 05:07:42 PM CEST 2026
2008	OK	3870	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_2008.root	Mon Jun 22 05:08:39 PM CEST 2026
2005	OK	3488	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_2005.root	Mon Jun 22 05:15:02 PM CEST 2026
2006	OK	3625	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_2006.root	Mon Jun 22 05:16:11 PM CEST 2026
2004	OK	3088	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_2004.root	Mon Jun 22 05:19:22 PM CEST 2026
