RUN	STATUS	RUNTIME(s)	OUTPUT
6044	OK	163	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6044.root
6048	OK	476	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6048.root
6043	OK	609	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6043.root
6046	OK	1014	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6046.root
6040	OK	1035	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6040.root
6053	OK	7	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6053.root
6052	OK	50	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6052.root
6055	OK	19	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6055.root
6051	OK	763	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6051.root
6057	OK	654	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6057.root
6041	OK	2082	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6041.root
6045	OK	2096	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6045.root
6039	OK	2139	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6039.root
6047	OK	2170	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6047.root
6042	OK	2232	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6042.root
6054	OK	1245	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6054.root
6049	OK	2229	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_6049.root
